Cycle,Fluorescence,SampleID
1,0.0010000009838345752,Sample_A1
2,0.0010294830875231709,Sample_A1
3,0.0023107778715084908,Sample_A1
4,0.0012620081978062837,Sample_A1
5,0.0010080263216495128,Sample_A1
6,0.0010245753466155655,Sample_A1
7,0.0030613705056029136,Sample_A1
8,0.0015278965320049795,Sample_A1
9,0.0028752416009031703,Sample_A1
10,0.0013560866435908692,Sample_A1
11,0.0010811363312940043,Sample_A1
12,0.0013212565267026524,Sample_A1
13,0.002857008624405187,Sample_A1
14,0.0031465851714182723,Sample_A1
15,0.006098028889724845,Sample_A1
16,0.017182774647052857,Sample_A1
17,0.054302642950582194,Sample_A1
18,0.17566354331931927,Sample_A1
19,0.567142966140478,Sample_A1
20,1.8004322836810043,Sample_A1
21,5.5352176661256385,Sample_A1
22,16.100336850814948,Sample_A1
23,42.865623571761354,Sample_A1
24,100.4489652570443,Sample_A1
25,200.00107974831124,Sample_A1
26,333.49900521729853,Sample_A1
27,472.5052743738225,Sample_A1
28,589.1368348785772,Sample_A1
29,672.4606242377284,Sample_A1
30,725.9192000954271,Sample_A1
31,758.0129441448336,Sample_A1
32,776.5372436743181,Sample_A1
33,786.9942225045918,Sample_A1
34,792.8244597500076,Sample_A1
35,796.05006541909,Sample_A1
36,797.8292316288275,Sample_A1
37,798.8078292522362,Sample_A1
38,799.3458498317169,Sample_A1
39,799.6415202329273,Sample_A1
40,799.8045270436921,Sample_A1
1,0.020334515005079462,Sample_A2
2,0.06430501322069856,Sample_A2
3,0.2086377689459725,Sample_A2
4,0.6730806325046205,Sample_A2
5,2.140273578656832,Sample_A2
6,6.573009737269813,Sample_A2
7,19.116756906143262,Sample_A2
8,50.90273967973824,Sample_A2
9,119.28271117803571,Sample_A2
10,237.5013120402992,Sample_A2
11,396.02958706136496,Sample_A2
12,561.0998307659481,Sample_A2
13,699.6000348748107,Sample_A2
14,798.5449322257808,Sample_A2
15,862.0286970628756,Sample_A2
16,900.1391522491591,Sample_A2
17,922.1380504149042,Sample_A2
18,934.555985860119,Sample_A2
19,941.4772914834771,Sample_A2
20,945.3088241849333,Sample_A2
21,947.4217113778154,Sample_A2
22,948.5841900799271,Sample_A2
23,949.2230199992489,Sample_A2
24,949.5741894296268,Sample_A2
25,949.7665920311908,Sample_A2
26,949.8723921576446,Sample_A2
27,949.9306390818492,Sample_A2
28,949.9627753578225,Sample_A2
29,949.980020905608,Sample_A2
30,949.989443051442,Sample_A2
31,949.9948736409995,Sample_A2
32,949.9974838691322,Sample_A2
33,949.9992238991077,Sample_A2
34,949.9999952915591,Sample_A2
35,950.0006736592787,Sample_A2
36,950.0011982368384,Sample_A2
37,950.0008311713219,Sample_A2
38,950.001177062536,Sample_A2
39,950.000949279993,Sample_A2
40,950.0012783373703,Sample_A2
1,0.001112628183037459,Sample_A3
2,0.0011528017972440132,Sample_A3
3,0.002162779308043808,Sample_A3
4,0.0037912529867164544,Sample_A3
5,0.00655494668871421,Sample_A3
6,0.018693527839244252,Sample_A3
7,0.059315377655497145,Sample_A3
8,0.19198872172955786,Sample_A3
9,0.6205404345011204,Sample_A3
10,1.9691659124450267,Sample_A3
11,6.054225401135751,Sample_A3
12,17.60899922625314,Sample_A3
13,46.88419802676236,Sample_A3
14,109.86622560567791,Sample_A3
15,218.7511570621616,Sample_A3
16,364.76412732797587,Sample_A3
17,516.8031230528704,Sample_A3
18,644.3681911276692,Sample_A3
19,735.5023125142591,Sample_A3
20,793.97440703671,Sample_A3
21,829.07556692874,Sample_A3
22,849.3374831347984,Sample_A3
23,860.7775134734449,Sample_A3
24,867.1502505065914,Sample_A3
25,870.6796782785909,Sample_A3
26,872.6267147538522,Sample_A3
27,873.697468593134,Sample_A3
28,874.2844153228218,Sample_A3
29,874.608291874606,Sample_A3
30,874.7855362001449,Sample_A3
31,874.8833174944684,Sample_A3
32,874.9379776768374,Sample_A3
33,874.9659935608536,Sample_A3
34,874.9814835589148,Sample_A3
35,874.990685983874,Sample_A3
36,874.9951772504771,Sample_A3
37,874.9981103674908,Sample_A3
38,875.0005417184819,Sample_A3
39,875.0001681837208,Sample_A3
40,875.0013433116621,Sample_A3
1,0.0010825602940419665,Sample_A4
2,0.0010726066082801097,Sample_A4
3,0.0012997467789504042,Sample_A4
4,0.002409240970593386,Sample_A4
5,0.001655981677349771,Sample_A4
6,0.001824261838790578,Sample_A4
7,0.002195151639301381,Sample_A4
8,0.0010349499378757372,Sample_A4
9,0.0010258851356647867,Sample_A4
10,0.0010943511647279185,Sample_A4
11,0.0014214539175999017,Sample_A4
12,0.0013466848425991672,Sample_A4
13,0.0011677579317380627,Sample_A4
14,0.0018501564564713752,Sample_A4
15,0.001085403896534399,Sample_A4
16,0.0011815677960413597,Sample_A4
17,0.002760482301414146,Sample_A4
18,0.001423589670930949,Sample_A4
19,0.0010459903366608595,Sample_A4
20,0.0010701161701215658,Sample_A4
21,0.0017152758111348458,Sample_A4
22,0.001367366294474623,Sample_A4
23,0.0014633344709452877,Sample_A4
24,0.002640072172595114,Sample_A4
25,0.006131674078260226,Sample_A4
26,0.017467812025851667,Sample_A4
27,0.054550667519575234,Sample_A4
28,0.17563648310494454,Sample_A4
29,0.5674777080617469,Sample_A4
30,1.8003708010413388,Sample_A4
31,5.53553650719605,Sample_A4
32,16.098596142203238,Sample_A4
33,42.866325171293795,Sample_A4
34,100.44863692319913,Sample_A4
35,200.00114963190845,Sample_A4
36,333.4987031314533,Sample_A4
37,472.5053064133176,Sample_A4
38,589.1374316677935,Sample_A4
39,672.4589141933898,Sample_A4
40,725.9190286614476,Sample_A4
1,0.0010007049579872566,Sample_A5
2,0.0031853401301140264,Sample_A5
3,0.001005667887844069,Sample_A5
4,0.0018937574232066909,Sample_A5
5,0.0013062769971558025,Sample_A5
6,0.0010218364058475558,Sample_A5
7,0.001515034346032721,Sample_A5
8,0.001017233795641018,Sample_A5
9,0.0014649000142411951,Sample_A5
10,0.001011339225951183,Sample_A5
11,0.001050308153995401,Sample_A5
12,0.0010583660309018328,Sample_A5
13,0.003570856884498655,Sample_A5
14,0.0011742889968428868,Sample_A5
15,0.0010055644425369147,Sample_A5
16,0.001161974069129393,Sample_A5
17,0.001181776520376422,Sample_A5
18,0.0011181556306630528,Sample_A5
19,0.001855261561975837,Sample_A5
20,0.001850140077750331,Sample_A5
21,0.0010097722808227823,Sample_A5
22,0.0010310617521600088,Sample_A5
23,0.0016729743487789654,Sample_A5
24,0.0013096483726629633,Sample_A5
25,0.0019215352407554785,Sample_A5
26,0.0027323841036650245,Sample_A5
27,0.0038236777602282026,Sample_A5
28,0.01204344446979561,Sample_A5
29,0.03037719602740633,Sample_A5
30,0.09806867756352201,Sample_A5
31,0.3169703992403837,Sample_A5
32,1.0146628357504366,Sample_A5
33,3.1735552817246675,Sample_A5
34,9.52271152955487,Sample_A5
35,26.624326435170993,Sample_A5
36,66.8411536822115,Sample_A5
37,144.8806122349343,Sample_A5
38,263.9896910030223,Sample_A5
39,404.3607251123788,Sample_A5
40,534.7435471297408,Sample_A5
